name,type
Medidata,person
Dave Kleiman,person
Julian Assange,person
Brian Brackeen,person
Unseals Ex-Playboy Model,person
Facebook Messenger,person
Meryl Streep,person
Mark Cuban,person
Mikhail Prokhorov,person
Joel Manby,person
Lin,person
Stephen Lanzo,person
Long Hidden,person
Broderick,person
Leah Aden,person
Gracias,person
Pina,person
Will Fischbach,person
Reed Elsever,person
Recode,person
Duffy,person
Bela,person
Kleiner,person
Otto s,person
Wei,person
Paul Callan,person
Marc Sloan,person
Daisy Olivo,person
Salkin,person
Dennis Carey,person
Luke,person
Lebedev,person
Alex Wong,person
Bosley,person
Evelyn Stauffer,person
Bird,person
John Sargent,person
Lee Ann McAdoo,person
Andrew Cogan,person
Eli Manning,person
Robert Niblock,person
Alain Dehaze,person
Gordon Vayo,person
CTO Dan Phillips,person
Jamie Lynn Butler,person
Bias,person
Dave Arnold,person
ALNY,person
Bill Winters,person
Law,person
Boris Collardi,person
Thomas Wolfley,person
Ben Lerer,person
Gavin Slater,person
Dhaliwal,person
Arroyo,person
James Otero,person
Nedko Ivanov,person
Bela Karolyi,person
Alyson Shontell,person
Mark Thompson,person
Kinsella Weitzman Iser Kump & Aldisert,person
Fran Walsh,person
George Avetisov,person
Jean-Marc Janaillac,person
Iron Man,person
Michael Beckerman,person
Frank Poore,person
Trumps,person
Schembri,person
Cook,person
Amos Genish,person
Coulter,person
Dan,person
Immelt,person
Mary Barra,person
Rich,person
Abigail Ross Hopper,person
Pavel Durov,person
Jerry Brown,person
Jack Montague,person
Jane Doe 1,person
Helen Donahue,person
Lei Jun,person
Stranahan,person
Swan,person
CTO Ken Tidwell,person
Aly Raisman,person
Edith Harbaugh,person
Jacob Bloom,person
DeBrodie,person
Jeff Green,person
Drew Brees,person
Shonda Rhimes,person
Barbara Schneeweiss,person
Jim McCaughan,person
Bob Ferguson,person
Paulo Alves,person
Brad Dickerson,person
Kyle Barbaro,person
CTO Neal Liu,person
Cyberattacks,person
Glasser,person
Kaplan,person
Jo Hopper,person
Zinke,person
Richard Quest,person
Anthony Sebok,person
Adrienne Lawrence,person
Tom Harty,person
Steve Stapleton,person
Mejia,person
Jessica Karp Bansal,person
Aimco,person
Chuck Johnson,person
Shakil Khan,person
Nancy Brown,person
Alexander Vikharev,person
ZIxuan Rao,person
Daniels,person
Kaz Hirai,person
Ryan Graciano,person
Owen Cyrulnik,person
Forrest,person
Joe Duffy,person
Ingrid Avenda,person
Ketan Jhaveri,person
Sophie Kivlehan,person
McGowan,person
Gillian Tans,person
Alnylam,person
Ted Marzilli,person
Stephen Brashear,person
Max Kennerly,person
Paul Manafort,person
Bill Peters,person
Eric Trump,person
John Hanke,person
Ram,person
Ron Black,person
Keith Cozza,person
Susman Godfrey,person
Allen Lindstrom,person
Netscape,person
Lommatzsch,person
Rebecca,person
Jinnah Hosein,person
Siri,person
Jill Hazelbaker,person
Lisa Page,person
Mary Elizabeth Fleig,person
Yee,person
Alex Jones,person
Brett Berish,person
Howard,person
Binny Bansal,person
Alvin K. Hellerstein,person
9Spokes Tim Boughton,person
Kasper Rorsted,person
Sucampo,person
Brian Lohan,person
Craig Federighi,person
Fotolia,person
Politico Martin Sorrell,person
Madonna,person
Ian Christopher McCaleb,person
Acasa,person
Moonves,person
Sidney Blumenthal,person
Anjali Sud,person
Hugh Hempel,person
Emma Grey Ellis,person
Jarrett,person
Tony Fadell,person
Mr Rich,person
Bolt,person
Watkins,person
Bayoh,person
Reid,person
Jim Lentz,person
Lamar,person
Marguerite Reardon AT&T,person
Kevin Schmidt,person
Leonard Pozner,person
Ricky,person
Adam Silver,person
Grigory Rodchenkov,person
Getty Craig Brittain,person
Rachel Bronson,person
Getty Facebook,person
Greg Blatt,person
Stefania,person
Judd,person
Eliot Horowitz,person
Keith Olbermann,person
WTFFFFF,person
Stephen Legomsky,person
Luke Heron,person
Patricia Hurtado,person
Ron,person
Sigma Hoi Lam,person
Maria Cottone,person
Christopher Porco,person
Chip Somodevilla,person
Dean Obeidallah,person
Eric Goldman,person
Martine Rothblatt,person
Hogan Gidley,person
Green,person
David,person
Dunnie Richard Tuck,person
Kevin Johnson,person
Renata,person
Papa,person
John Bolton,person
Lianne Milton,person
Chen,person
Pepe,person
Julie Cooling,person
Lathan Watts,person
Patrick Sandusky,person
JC Lee,person
Brad Stevens,person
Sloan,person
Kenneth Ball,person
Manchin,person
John Defterios,person
Lena Masri,person
Engelien,person
David Sacks,person
Hansen,person
Amy Berman Jackson,person
Jim Bankoff,person
Brauneis,person
Dan Primack,person
Chuck Cumello,person
Mikey Campbell,person
Biktarvy,person
Rodchenkov,person
Dana Berliner,person
Daniel Tawiah,person
Harris,person
Lewinsky,person
Marcelo Claure,person
Lance Fritz,person
Melania,person
Nicolas Hulot,person
Saporito,person
Fayez Nureldine,person
MacKenzie Bezos,person
Lahon Wbas,person
Jamie Davis,person
Neil Portnow,person
Garrick Freeman,person
Mubadala,person
Nikolas Cruz,person
Jerry Maguire,person
Whitman,person
Ice Cube,person
Huenefeld,person
Alex Gorsky,person
Pepe the Frog,person
Sinclair,person
Jade Egg,person
Martin Winterkorn,person
Louis Camilleri,person
Jeff Miller,person
Greenier,person
Jezebel,person
Leonardo DiCaprio,person
Stris,person
Brandon Krieg,person
Andrew Intrater,person
Ramsey,person
George Huang,person
Viola Bryant,person
Sergio Ermotti,person
Audrey-Laure Bergenthal,person
Kathleen Breitman,person
Stephen Rodrick,person
DeMunn,person
FNJN,person
Sherpa,person
Brian Chesky,person
Mark Papermaster,person
Alexandra Bouriko,person
Laverne Cox,person
Tik Tok,person
David Becker,person
Christopher Robin,person
Gavin Cox,person
Rob Kim,person
Ed O’Bannon,person
Martin Gaynor,person
Paul Pomroy,person
Baker Hughes,person
Jonathan Shapiro,person
Elizabeth Kuhn,person
Leigh Corfman,person
Sheets’,person
de la Huerta,person
Miki Berardelli,person
Ryan Rzepecki,person
Alaska Statute,person
Sean Davis,person
Christine Romans,person
Spencer Rascoff,person
Matt Drudge,person
LiDar,person
Birkenstock,person
Jared Sine,person
Bob Weinstein,person
John King,person
Craig Carton,person
Mayweather,person
Carper,person
Flannery,person
